LANDLORD_RANK,OWNER,ADDRESS,BUILDING_NAME,ZIP,APT_UNITS,APT_YR_BUILT,APT_STORIES,TOTAL_COMPLAINTS,COMPLAINTS_90D,OPEN_UNRESOLVED,FIRST_COMPLAINT,LAST_COMPLAINT,WORST_90D_WINDOW,FLAGS,KNOWN_CASE,LAND_VALUE,IMPROVEMENT_VALUE,TOTAL_ASSESSED_VALUE,LAST_SALE_DATE,LAST_SALE_PRICE,PREVIOUS_OWNER,SALE_HISTORY,PIN
1,UNKNOWN / NOT IN SALE RECORDS,1137 NW 59TH ST,1139 NW 59TH ST,98107,,,,3,3,0,2023-06-07,2023-07-27,2023-06-07 to 2023-09-05,,,163600,323400,487000,,,,,3202850000
1,UNKNOWN / NOT IN SALE RECORDS,1806 NW BLUE RIDGE DR,,98177,,,,3,3,0,2023-06-20,2023-08-01,2023-06-20 to 2023-09-18,,,1172000,480000,1652000,,,,,868001529
1,UNKNOWN / NOT IN SALE RECORDS,3110 S ALASKA ST,,,,,,3,3,0,2023-07-08,2023-08-23,2023-07-08 to 2023-10-06,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,308 YALE AVE N,,,,,,3,3,0,2023-07-11,2023-09-14,2023-07-11 to 2023-10-09,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,519 N 137TH ST,,98133,,,,3,3,0,2023-07-14,2023-07-20,2023-07-14 to 2023-10-12,,,446000,752000,1198000,,,,,164000411
1,UNKNOWN / NOT IN SALE RECORDS,14347 LAKE CITY WAY NE,,,,,,3,3,0,2023-07-02,2023-09-21,2023-07-02 to 2023-09-30,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,7977 M L KING JR WAY S,,,,,,3,3,0,2023-07-26,2023-09-12,2023-07-26 to 2023-10-24,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,330 A NW 85TH ST,,,,,,3,3,0,2023-08-05,2023-10-25,2023-08-05 to 2023-11-03,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,2114 N 43RD ST,2114 NORTH 43RD STREET,98103,,,,3,3,0,2023-08-08,2023-09-15,2023-08-08 to 2023-11-06,,,283800,501200,785000,,,,,8725910000
1,UNKNOWN / NOT IN SALE RECORDS,21 BOSTON ST,,,,,,3,3,0,2023-08-17,2023-08-28,2023-08-17 to 2023-11-15,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,415 10TH AVE N,,,,,,3,3,0,2022-05-05,2022-05-25,2022-05-05 to 2022-08-03,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,1818 NW 89TH ST,,,,,,3,3,0,2023-08-30,2023-10-03,2023-08-30 to 2023-11-28,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,2302 NE 91ST ST,2302 NE 91ST ST,98115,,,,3,3,0,2023-09-02,2023-09-02,2023-09-02 to 2023-12-01,,,308600,714400,1023000,,,,,8730500000
1,UNKNOWN / NOT IN SALE RECORDS,122 TERRY AVE N,,,,,,3,3,0,2023-08-31,2023-09-07,2023-08-31 to 2023-11-29,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,3700 41ST AVE SW,,98116,,,,3,3,0,2023-10-13,2023-12-13,2023-10-13 to 2024-01-11,,,742000,581000,1323000,,,,,324000055
1,UNKNOWN / NOT IN SALE RECORDS,3852 35TH AVE SW,35TH AVE SW CONDOMINIUM,98126,,,,3,3,0,2023-10-21,2024-01-18,2023-10-21 to 2024-01-19,,,205000,504000,709000,,,,,8601750000
1,UNKNOWN / NOT IN SALE RECORDS,5717 SW HANFORD ST,,98116,,,,3,3,0,2023-10-30,2023-12-07,2023-10-30 to 2024-01-28,,,1115000,346000,1461000,,,,,148000490
1,UNKNOWN / NOT IN SALE RECORDS,2118 2ND AVE,,,,,,3,3,0,2023-10-30,2024-01-24,2023-10-30 to 2024-01-28,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,3511 NE 50TH ST,,,,,,3,3,0,2023-12-01,2024-01-16,2023-12-01 to 2024-02-29,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,4526 42ND AVE SW,,98116,,,,3,3,0,2023-12-15,2024-01-16,2023-12-15 to 2024-03-14,,,360000,147000,507000,,,,,952006560
1,UNKNOWN / NOT IN SALE RECORDS,1041 S SULLIVAN ST,,,,,,3,3,0,2023-12-20,2024-03-12,2023-12-20 to 2024-03-19,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,1716 23RD AVE,EBENEZER AME ZION CHURCH,98122,,1900,1,3,3,0,2023-12-26,2024-02-13,2023-12-26 to 2024-03-25,,,1759500,237200,1996700,,,,,7228500010
1,UNKNOWN / NOT IN SALE RECORDS,343 NE 90TH ST,,,,,,3,3,0,2024-01-29,2024-02-19,2024-01-29 to 2024-04-28,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,10527 15TH AVE NW,,98177,,,,3,3,0,2024-01-30,2024-02-14,2024-01-30 to 2024-04-29,,,1238000,1035000,2273000,,,,,868000765
1,UNKNOWN / NOT IN SALE RECORDS,206 12TH AVE E,5-UNIT APT,98102,6,1901,2,3,3,0,2024-01-31,2024-02-29,2024-01-31 to 2024-04-30,SUSPICIOUS_IMPR_VALUE_1000,,1680000,1000,1681000,,,,,6003501630
1,UNKNOWN / NOT IN SALE RECORDS,8073 27TH AVE NW,,98117,,,,3,3,0,2024-02-01,2024-02-27,2024-02-01 to 2024-05-01,,,609000,448000,1057000,,,,,225039066
1,UNKNOWN / NOT IN SALE RECORDS,4724 45TH AVE SW,,,,,,3,3,0,2024-02-01,2024-04-20,2024-02-01 to 2024-05-01,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,1433 LAKE WASHINGTON BLVD,,98122,,,,3,3,0,2024-01-31,2024-04-09,2024-01-31 to 2024-04-30,SUSPICIOUS_IMPR_VALUE_1000,,2516000,1000,2517000,,,,,5350201230
1,UNKNOWN / NOT IN SALE RECORDS,7748 13TH AVE SW,7748 13TH AVENUE SW,98106,,,,3,3,0,2024-02-08,2024-03-30,2024-02-08 to 2024-05-08,,,224600,442400,667000,,,,,7699210000
1,UNKNOWN / NOT IN SALE RECORDS,3816 36TH AVE W,DISCOVERY RESIDENCES,98199,,,,3,3,0,2024-02-26,2024-03-08,2024-02-26 to 2024-05-26,,,113300,704700,818000,,,,,2042100000
1,UNKNOWN / NOT IN SALE RECORDS,1317 NE 66TH ST,Value in the land,98115,,,,3,3,0,2024-03-04,2024-03-29,2024-03-04 to 2024-06-02,SUSPICIOUS_IMPR_VALUE_1000,,1558000,1000,1559000,,,,,525049028
1,UNKNOWN / NOT IN SALE RECORDS,504 NE 65TH ST,,,,,,3,3,0,2024-03-12,2024-03-18,2024-03-12 to 2024-06-10,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,4600 S ANGELINE ST,4600 S ANGELINE ST,98118,,,,3,3,0,2024-03-18,2024-04-04,2024-03-18 to 2024-06-16,,,152900,962100,1115000,,,,,2603340000
1,UNKNOWN / NOT IN SALE RECORDS,5305 ERSKINE WAY SW,,,,,,3,3,0,2024-04-04,2024-06-20,2024-04-04 to 2024-07-03,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,10515 GREENWOOD AVE N,,,,,,3,3,0,2024-06-18,2024-08-05,2024-06-18 to 2024-09-16,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,2607 SW GENESEE ST,,,,,,3,3,0,2024-06-26,2024-07-03,2024-06-26 to 2024-09-24,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,529 N 68TH ST,,,,,,3,3,0,2024-06-21,2024-09-06,2024-06-21 to 2024-09-19,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,10713 2ND AVE NW,,,,,,3,3,0,2024-07-07,2024-07-11,2024-07-07 to 2024-10-05,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,7915 M L KING JR WAY S,,,,,,3,3,0,2024-07-11,2024-07-11,2024-07-11 to 2024-10-09,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,5307 S HENDERSON ST,,,,,,3,3,0,2024-07-10,2024-08-27,2024-07-10 to 2024-10-08,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,327 NE THORNTON PL,,,,,,3,3,0,2024-07-16,2024-10-11,2024-07-16 to 2024-10-14,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,1820 E MARION ST,,,,,,3,3,0,2024-07-10,2024-08-22,2024-07-10 to 2024-10-08,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,4420 S OTHELLO ST,,98118,,,,3,3,0,2024-07-25,2024-08-22,2024-07-25 to 2024-10-23,,,230000,,230000,,,,,1005000151
1,UNKNOWN / NOT IN SALE RECORDS,2734 NE 90TH ST,2734 NE 90TH ST,98115,,,,3,3,0,2024-08-12,2024-08-20,2024-08-12 to 2024-11-10,,,440400,1618600,2059000,,,,,8728170000
1,UNKNOWN / NOT IN SALE RECORDS,12015 B 36TH AVE NE,,,,,,3,3,0,2024-08-25,2024-08-29,2024-08-25 to 2024-11-23,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,3813 S LUCILE ST,,,,,,3,3,0,2024-08-26,2024-09-09,2024-08-26 to 2024-11-24,NO_PARCEL_RECORD,,,,,,,,,
