category,rrio_status,address,district,lt_complaints,verified,unverified,unverified_pct,open,sha_flag,units,contact,reg_number
UNREGISTERED,NOT REGISTERED,3018 14TH AVE W,D7,8,3,5,62.5,0,,,,
UNREGISTERED,NOT REGISTERED,3418 13TH AVE W,D7,8,2,6,75.0,0,,,,
UNREGISTERED,NOT REGISTERED,120 REPUBLICAN ST,D7,8,0,7,87.5,1,,,,
UNREGISTERED,NOT REGISTERED,3424 13TH AVE W,D7,8,0,8,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,3432 13TH AVE W,D7,8,1,7,87.5,0,,,,
UNREGISTERED,NOT REGISTERED,3440 13TH AVE W,D7,8,0,8,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,3446 13TH AVE W,D7,8,1,7,87.5,0,,,,
UNREGISTERED,NOT REGISTERED,3407 CALIFORNIA AVE SW,D1,7,7,0,0.0,0,,,,
UNREGISTERED,NOT REGISTERED,1768 ALKI AVE SW,D1,7,3,3,42.9,1,,,,
UNREGISTERED,NOT REGISTERED,6790 MURRAY AVE SW,D1,7,1,5,71.4,1,,,,
UNREGISTERED,NOT REGISTERED,3855 BEACH DR SW,D1,7,2,5,71.4,0,,,,
UNREGISTERED,NOT REGISTERED,6663 CARLETON AVE S,D1,7,3,4,57.1,0,,,,
UNREGISTERED,NOT REGISTERED,9455 27TH AVE SW,D1,7,1,5,71.4,1,YES,,,
UNREGISTERED,NOT REGISTERED,3506 S ADAMS ST,D2,7,4,3,42.9,0,,,,
UNREGISTERED,NOT REGISTERED,3824 S MYRTLE ST,D2,7,1,6,85.7,0,YES,,,
UNREGISTERED,NOT REGISTERED,2807 S MCCLELLAN ST,D2,7,0,5,71.4,2,,,,
UNREGISTERED,NOT REGISTERED,11925 BEACON AVE S,D2,7,4,2,28.6,1,,,,
UNREGISTERED,NOT REGISTERED,3904 27TH AVE S,D2,7,3,4,57.1,0,,,,
UNREGISTERED,NOT REGISTERED,5960 M L KING JR WAY S,D2,7,1,6,85.7,0,,,,
UNREGISTERED,NOT REGISTERED,2530 BEACON AVE S,D2,7,1,6,85.7,0,,,,
UNREGISTERED,NOT REGISTERED,1020 BELLEVUE CT E,D3,7,2,4,57.1,1,,,,
UNREGISTERED,NOT REGISTERED,222 15TH AVE,D3,7,5,2,28.6,0,,,,
UNREGISTERED,NOT REGISTERED,620 18TH AVE E,D3,7,1,5,71.4,1,,,,
UNREGISTERED,NOT REGISTERED,3825 BRIDGE WAY N,D4,7,6,1,14.3,0,,,,
UNREGISTERED,NOT REGISTERED,4111 11TH AVE NE,D4,7,3,4,57.1,0,,,,
UNREGISTERED,NOT REGISTERED,905 NE 66TH ST,D4,7,0,5,71.4,2,,,,
UNREGISTERED,NOT REGISTERED,7711 57TH AVE NE,D4,7,0,2,28.6,5,,,,
UNREGISTERED,NOT REGISTERED,5611 NE 59TH ST,D4,7,5,2,28.6,0,,,,
UNREGISTERED,NOT REGISTERED,4902 NE 70TH ST,D4,7,1,6,85.7,0,,,,
UNREGISTERED,NOT REGISTERED,4542 18TH AVE NE,D4,7,1,6,85.7,0,,,,
UNREGISTERED,NOT REGISTERED,13045 27TH AVE NE,D5,7,6,1,14.3,0,,,,
UNREGISTERED,NOT REGISTERED,9818 5TH AVE NE,D5,7,3,3,42.9,1,YES,,,
UNREGISTERED,NOT REGISTERED,12023 33RD AVE NE,D5,7,4,3,42.9,0,,,,
UNREGISTERED,NOT REGISTERED,13735 LINDEN AVE N,D5,7,1,6,85.7,0,,,,
UNREGISTERED,NOT REGISTERED,14040 ASHWORTH AVE N,D5,7,1,6,85.7,0,,,,
UNREGISTERED,NOT REGISTERED,14340 32ND AVE NE,D5,7,1,6,85.7,0,,,,
UNREGISTERED,NOT REGISTERED,9032 3RD AVE NW,D5,7,6,1,14.3,0,,,,
UNREGISTERED,NOT REGISTERED,13051 27TH AVE NE,D5,7,5,2,28.6,0,,,,
UNREGISTERED,NOT REGISTERED,12564 17TH AVE NE,D5,7,3,3,42.9,1,,,,
UNREGISTERED,NOT REGISTERED,13323 23RD PL NE,D5,7,1,6,85.7,0,,,,
UNREGISTERED,NOT REGISTERED,12725 33RD AVE NE,D5,7,0,4,57.1,3,,,,
UNREGISTERED,NOT REGISTERED,12038 32ND AVE NE,D5,7,2,5,71.4,0,,,,
UNREGISTERED,NOT REGISTERED,3015 NW MARKET ST,D6,7,1,6,85.7,0,,,,
UNREGISTERED,NOT REGISTERED,1227 NW 85TH ST,D6,7,3,4,57.1,0,,,,
UNREGISTERED,NOT REGISTERED,5314 17TH AVE NW,D6,7,0,6,85.7,1,,,,
UNREGISTERED,NOT REGISTERED,7733 15TH AVE NW,D6,7,0,7,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,1414 DEXTER AVE N,D7,7,1,5,71.4,1,,,,
UNREGISTERED,NOT REGISTERED,2113 AURORA AVE N,D7,7,1,6,85.7,0,,,,
UNREGISTERED,NOT REGISTERED,2451 AURORA AVE N,D7,7,1,6,85.7,0,,,,
UNREGISTERED,NOT REGISTERED,2302 4TH AVE,D7,7,6,1,14.3,0,,,,
UNREGISTERED,NOT REGISTERED,919 STEWART ST,D7,7,0,5,71.4,2,,,,
UNREGISTERED,NOT REGISTERED,2016 DEXTER AVE N,D7,7,3,4,57.1,0,,,,
UNREGISTERED,NOT REGISTERED,4328 SW TRENTON ST,D1,6,2,3,50.0,1,,,,
UNREGISTERED,NOT REGISTERED,7412 GATEWOOD RD SW,D1,6,6,0,0.0,0,,,,
UNREGISTERED,NOT REGISTERED,7718 35TH AVE SW,D1,6,4,2,33.3,0,,,,
UNREGISTERED,NOT REGISTERED,7070 EAST MARGINAL WAY S,D1,6,1,5,83.3,0,,,,
UNREGISTERED,NOT REGISTERED,224 S WASHINGTON ST,D1,6,0,4,66.7,2,,,,
UNREGISTERED,NOT REGISTERED,8839 DELRIDGE WAY SW,D1,6,3,3,50.0,0,,,,
UNREGISTERED,NOT REGISTERED,9213 25TH AVE SW,D1,6,1,5,83.3,0,,,,
UNREGISTERED,NOT REGISTERED,2425 SW HOLDEN ST,D1,6,3,2,33.3,1,YES,,,
UNREGISTERED,NOT REGISTERED,6520 35TH AVE SW,D1,6,3,2,33.3,1,YES,,,
UNREGISTERED,NOT REGISTERED,4112 DELRIDGE WAY SW,D1,6,3,3,50.0,0,,,,
UNREGISTERED,NOT REGISTERED,2800 23RD AVE S,D2,6,3,3,50.0,0,,,,
UNREGISTERED,NOT REGISTERED,2307 23RD AVE S,D2,6,4,2,33.3,0,,,,
UNREGISTERED,NOT REGISTERED,10047 61ST AVE S,D2,6,5,1,16.7,0,,,,
UNREGISTERED,NOT REGISTERED,2909 13TH AVE S,D2,6,2,3,50.0,1,,,,
UNREGISTERED,NOT REGISTERED,3819 LETITIA AVE S,D2,6,0,3,50.0,3,,,,
UNREGISTERED,NOT REGISTERED,110 10TH AVE S,D2,6,0,5,83.3,1,,,,
UNREGISTERED,NOT REGISTERED,2544 BEACON AVE S,D2,6,0,6,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,2721 21ST AVE S,D2,6,2,4,66.7,0,,,,
UNREGISTERED,NOT REGISTERED,4208 RAINIER AVE S,D2,6,4,2,33.3,0,,,,
UNREGISTERED,NOT REGISTERED,4542 A S HENDERSON ST,D2,6,1,5,83.3,0,,,,
UNREGISTERED,NOT REGISTERED,4790 32ND AVE S,D2,6,0,6,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,420 TERRY AVE,D2,6,1,4,66.7,1,,,,
UNREGISTERED,NOT REGISTERED,3651 34TH AVE S,D2,6,1,2,33.3,3,,,,
UNREGISTERED,NOT REGISTERED,6056 M L KING JR WAY S,D2,6,3,3,50.0,0,,,,
UNREGISTERED,NOT REGISTERED,803 E DENNY WAY,D3,6,1,4,66.7,1,,,,
